sentiment	numberagreed	tweetid	tweet
neutral	6	902827	Camera SONY ALPHA DSLR-A700 DIGITAL CAMERA+8GB KIT NEW Price: $320 USD Online Order: ~http 
positive	4	1746368	OH MY BASED GOD. Those new Nike Mags light the fuck up. AM I 6 AGAIN!? #soexcited #theylookfuckedup #butimgettingthemanywaysfuckit
neutral	3	275168	Possum pums! Runnin don't mean its trash!RT @user but wait.... what's worse??? possum pums or shorty that always runs from the dick?
neutral	3	1016875	Manufacturer AUDI AG Production        1994–present Assembly        Neckarsulm; Germany Aurangabad; India (CKD)... ~http 
neutral	3	2423120	New post: Samsung patent applications published on 08 September 2011 ~http 
negative	3	2318672	This has not been a good weekend for me at all
neutral	3	445847	Rapper Gucci Mane has confirmed he and Britney Spears will record a new song for her unreleased album titled "Hit"... ~http 
neutral	3	1731242	flubber134: Sony iPod Dock Station with Bass Boost: Great Docking Station! Model SRS-GU10iP Compatible with all ip... ~http 
neutral	3	3377884	Buy cheap oem software online slysoft any dvd converter: Microsoft Office Home the software Business easy to acc... ~http 
negative	3	73522	I almost think Sunday nights should be awful by law. This way you're not so depressed going to bed for work. Another weekend-gone by. Sigh.
positive	3	1610474	"I’ll never forget the fun time I had there& I want to thank you& all the wonderful people who made my dream come true" ~http 
neutral	3	121015	#FF @user and check out her music!
neutral	3	2947532	win latest Sony Laptop ~http
positive	3	1728973	I love kalli!!!
negative	3	441357	It's amazing how one person can fuck your entire mood up and think nothing of it !!! Way to make me door special !!!
neutral	3	575173	who all going to the classic?
neutral	3	494490	cheerleaders correct me. nike shorts; flip flops; tank top (bathing suit under by choice); white bow; 3 towels; sponge; &bucket if possible?
neutral	3	2155246	Tote bag marketing; books and sneakers via The Domino Project - Not sure if you've seen the auction Nike is ... ~http 
neutral	3	654429	Ineed a pic on here who ckan help me
positive	3	1507543	Nf @user!!! I can't believe u found me lol
positive	3	261303	Early Christmas at the Nike store; thanks momma. #mommasboy
neutral	3	1930814	What do you think of the number 19?
neutral	3	1822817	Buying a new car but not sure what 2 get. Was looking at either and Audi or a Benz
neutral	3	2345604	Everyone everywhere! Skype: norbertogomezjr ~http  For more info
negative	3	1884930	I'm sick of physical therapy...
neutral	3	746490	check out @user video from @user ----&gt; ~http 
neutral	3	371526	Why am I drawn to early morning jobs/ activities? Night night
neutral	3	1487532	Young Eggheads Will Build/Launch a Rocket via Sony Vaio - mediabistro.com: Age.. ~http 
neutral	3	878683	[new TIAPB post] World Photography Festival and Sony World Photography Awards ~http 
neutral	3	3408587	1500 pairs of the 2011 NIKE MAG will be auctioned on eBay with all net proceeds going directly to The Michael J. Fox Foundation.
neutral	3	1432715	Buy Your Meds Online Today   ~http 
neutral	3	67960	Beats all day. rhymes all night
neutral	3	2303305	How to install Android 2.3.5 Gingerbread on Samsung Galaxy S2: Android has released Gingerbread 2.3.5 for Androi... ~http 
positive	3	510084	V day Wooohhooo. Party time.
negative	3	1586067	Please #wakemeupwhen you stop calling yourself a barbie over there looking like Ken and Scooby Doo.. make sure u shave that mustache bitch
neutral	3	154532	RIDOT to Motorists:  The Luck of the Irish Won't Save You if You Drink and Drive on St. Patrick's Day: ~http  #rigov
neutral	3	2765046	Photo:  ~http 
neutral	3	839517	Well; my name is Suzie and Gucci thinks I love him.
positive	3	1057678	My bebeee @user just spent $100 on me! New nike air maxes! Helllooooooo! :) I LOVE HIM!
positive	3	2063674	WOW! KRisten looks AMAZING
positive	3	672670	He enjoyed himself lol ~http 
