Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe.	negative
cant sleep but im still feelin like a piece of shit 	negative
set my alarm to wake up... wanted to speak to my sis in Africa on Skype - I miss her sooo much 	negative
@Pixie_Anna scroll back a few hours, you missed a whole lotta Jon 	negative
just microwaved a kashi chicken and spinach thing, and put in the Milk dvd. anyone seen it? i bet it's good. i still havent seen slumdog 	negative
Had a moment with run fatboy run 	negative
Doing my taxes. Not in the best mood because of this 	negative
@Tasouls what stupid show were you watching? lol. Not that there is any shortage. 	negative
Coke Zero mobile site broken... on iPhone anyway...   http://twitpic.com/2y5xp	negative
is not looking forward to class and work tomorrow. 	negative
Wow! NW001/002 are now operated with A330! We can get AC power! cool...! But ticket price is hyper crazy expensive 	negative
@mrsfr Yes, unfortunately the date clashed with an important and long standing family party, got to do it on my own 	negative
I HATE WINDOWS MOVIE MAKER....  SONY VEGAS COME BACK!! I cant download it anymore. My brother banned me from downloading.. ? (	negative
Sometimes YouTube has no sound on Ubuntu 	negative
first cold night of the year 	negative
needs a ride to work  im not liking the pospect of the 84 bus!	negative
Beeen Awake for awile.. Sick 	negative
@Wonginator i wish i was on spring break... 	negative
@justanotherjerk I wanna c &quot;No Doubt&quot; soooo bad!!! 	negative
@DanaEatsYou   hahaha im sorry  i didnt mean to. and you're supposed to film the day of silly! thats cheating doing it the day before!	negative
wants an iphone 	negative
Dats some fast internets. We'll probably be stuck with that 10% though  http://digg.com/d1o8Kd	negative
meetings aren't always boring, but I wonder why I m always sleepy towards the close 	negative
@Andy_Winward Only &quot;seem&quot;, Funny? 	negative
gets kinda annoyed for no apparent reason  off to do some religion homework, then some english D:	negative
@miss_leesa Me, too. *sigh*   We need to move somewhere cold... in the country... &amp; become florists... with a good bookstore nearby...	negative
Bbutton ring fell off  needa replace one asap: Bbutton ring fell off  needa replace one asap	negative
Raining again  should really get new umbrella	negative
...another long day ahead. I think my voice may be returning, but my head is still pounding.  Is it Friday yet?	negative
baahh???  SNOW?!?! .....  gross...	negative
im scared to go outside....its COLD today. Too bad I already put away all my winter clothes 	negative
glorious sunny day and i'm stuck in work 	negative
writing my bachlorthesis =&gt; developing a bachlor crisis 	negative
No jobs today, not in the mood to apply for any even if there were, I want to go home 	negative
Wondering why we have snow in the springtime    Chillin inside 2 day	negative
@troubalex Sorry, we see  this twitter account is for you personally. Should we follow another for #qt4 community events? Are we alone? 	negative
I'm on my grind today I have to work both jobs  sucks to be me. Hopefully no dumb ?'s or long boring meetings with people complaining	negative
@lelebelle at this rate it's hard to tell when I'll get to  I feel asleep watching the so from 2 weeks ago! Not the shows fault though.	negative
gah. my wrist is still hurting 	negative
Lauren doesn't hand hug me anymore 	negative
Didn't get a chance to buy yarn today  Maybe tomorrow. Long day at work.	negative
